policy,positioning,target_m,topology,tokens,mean_forward_kl,top1_agreement,mean_nll_clean,mean_nll_erased,perplexity_ratio,large_divergence_fraction,realized_missing_mass_mean,experts_erased_mean
null,mass_adversarial,0.01,spread,3584,3.0424390179770335,0.29408482142857145,2.5364792006356374,5.0118962696620395,11.88666363865185,0.5859375,0.22835867745535715,1.0
null,mass_adversarial,0.05,spread,3584,3.0424390179770335,0.29408482142857145,2.5364792006356374,5.0118962696620395,11.88666363865185,0.5859375,0.22835867745535715,1.0
null,mass_adversarial,0.125,spread,3584,3.0424390179770335,0.29408482142857145,2.5364792006356374,5.0118962696620395,11.88666363865185,0.5859375,0.22835867745535715,1.0
null,mass_adversarial,0.25,spread,3584,5.341277463095529,0.09933035714285714,2.5364792006356374,7.4057247298104425,130.22263064846334,0.9162946428571429,0.34230259486607145,1.7679792131696428
null,mass_adversarial,0.5,spread,3584,7.419376577649798,0.027064732142857144,2.5364792006356374,9.520017896379743,1078.7289142535815,0.978515625,0.5643833705357143,3.565708705357143
null,mass_omission,0.01,spread,3584,0.03490430622228554,0.9037388392857143,2.5364792006356374,2.560373612812587,1.024182171015381,0.0,0.06545802525111608,1.0028948102678572
null,mass_omission,0.05,spread,3584,0.05806544263448034,0.880859375,2.5364792006356374,2.5545215606689453,1.018206106720881,0.002232142857142857,0.07477242606026786,1.1849714006696428
null,mass_omission,0.125,spread,3584,0.18339133156197412,0.8258928571428571,2.5364792006356374,2.5518063817705428,1.0154452447988385,0.013392857142857142,0.16377476283482142,2.3342459542410716
null,mass_omission,0.25,spread,3584,0.4333617900099073,0.7190290178571429,2.5364792006356374,2.6755915709904263,1.149253234741741,0.03599330357142857,0.3069545200892857,3.7953578404017856
null,mass_omission,0.5,spread,3584,1.8921330996922083,0.4681919642857143,2.5364792006356374,3.8121743202209473,3.581189900340666,0.32003348214285715,0.5800083705357143,5.864780970982143
null,random_within_route,0.01,spread,3584,0.37321356364658903,0.7393973214285714,2.5364792006356374,2.656405517033168,1.1274137766102477,0.029854910714285716,0.12540544782366073,1.0009068080357142
null,random_within_route,0.05,spread,3584,0.4264231153896877,0.7315848214285714,2.5364792006356374,2.625103167125157,1.0926696986416662,0.037388392857142856,0.13061959402901785,1.0376325334821428
null,random_within_route,0.125,spread,3584,0.6898578745978219,0.6568080357142857,2.5364792006356374,2.784149135862078,1.2810370372068842,0.07784598214285714,0.20938546316964285,1.6349748883928572
null,random_within_route,0.25,spread,3584,1.4395161696842738,0.5131138392857143,2.5364792006356374,3.43623525755746,2.459003181180277,0.21986607142857142,0.33145577566964285,2.573939732142857
null,random_within_route,0.5,spread,3584,5.415444033486502,0.13392857142857142,2.5364792006356374,7.4885110173906595,141.46209718086536,0.8763950892857143,0.57568359375,4.481846400669643
renormalize,mass_adversarial,0.01,spread,3584,6.143390383039202,0.072265625,2.5364792006356374,8.3281432560512,327.5576451840708,0.9698660714285714,0.21282958984375,1.0
renormalize,mass_adversarial,0.05,spread,3584,6.143390383039202,0.072265625,2.5364792006356374,8.3281432560512,327.5576451840708,0.9698660714285714,0.21282958984375,1.0
renormalize,mass_adversarial,0.125,spread,3584,6.143390383039202,0.072265625,2.5364792006356374,8.3281432560512,327.5576451840708,0.9698660714285714,0.21282958984375,1.0
renormalize,mass_adversarial,0.25,spread,3584,6.808581897190639,0.043247767857142856,2.5364792006356374,8.965277671813965,619.429238624215,0.9888392857142857,0.3402099609375,1.8293805803571428
renormalize,mass_adversarial,0.5,spread,3584,7.6052102361406595,0.023158482142857144,2.5364792006356374,9.72688238961356,1326.6379836043561,0.9977678571428571,0.5654645647321429,3.593470982142857
renormalize,mass_omission,0.01,spread,3584,4.934801987239292,0.13364955357142858,2.5364792006356374,7.177492618560791,103.64933446998141,0.8953683035714286,0.08176531110491071,1.0025285993303572
renormalize,mass_omission,0.05,spread,3584,4.880351747785296,0.13504464285714285,2.5364792006356374,7.137040274483817,99.54014935169695,0.8914620535714286,0.08468191964285714,1.0634591238839286
renormalize,mass_omission,0.125,consecutive_block,3584,0.7954702547618321,0.8097098214285714,2.5364792006356374,3.261037622179304,2.0638195604675333,0.12193080357142858,0.17879813058035715,2.1459263392857144
renormalize,mass_omission,0.125,layer_burst,3584,0.26641792910439627,0.7759486607142857,2.5364792006356374,2.721867152622768,1.2036853216704502,0.010881696428571428,0.16435023716517858,2.3099888392857144
renormalize,mass_omission,0.125,scattered,3584,0.4687493017741612,0.7720424107142857,2.5364792006356374,2.900771106992449,1.4394943503863171,0.062220982142857144,0.17708042689732142,2.1939174107142856
renormalize,mass_omission,0.125,spread,3584,5.814132417951312,0.091796875,2.5364792006356374,8.170884813581194,279.89250337751287,0.935546875,0.17941720145089285,2.1226109095982144
renormalize,mass_omission,0.25,spread,3584,6.732760225023542,0.06501116071428571,2.5364792006356374,8.974847384861537,625.3854528662199,0.9634486607142857,0.30433872767857145,3.341221400669643
