policy,positioning,incidence,run_length,experts_per_drop,tokens_total,tokens_affected,realized_incidence,overall_mean_forward_kl,overall_top1_agreement,overall_perplexity_ratio,affected_mean_forward_kl,affected_p90_forward_kl,affected_top1_agreement,affected_perplexity_ratio,affected_large_divergence_fraction,affected_mean_missing_mass,affected_experts_erased_mean
null,mass_omission,0.002,1,1,15872,29,0.0018271169354838709,0.0004726264121472923,0.9934475806451613,0.9998786523064643,0.003958341702761165,0.010774199850857258,1.0,1.0161807127548237,0.0,0.06687769396551724,1.0
null,mass_omission,0.005,1,1,15872,78,0.004914314516129032,0.0010454059255050284,0.9882182459677419,1.0001278851351463,0.004737252652125206,0.009131459519267082,0.9871794871794872,0.9991266915968195,0.0,0.06750918657351763,1.0
null,mass_omission,0.009,1,1,15872,132,0.008316532258064516,0.0014053975295786176,0.9852570564516129,0.9991190547553491,0.003156653881632971,0.007339796982705593,0.9924242424242424,1.0055877292951212,0.0,0.06621852065577652,1.0
null,mass_omission,0.02,1,1,15872,312,0.01965725806451613,0.0019171580882562744,0.9827998991935484,0.9999419736778076,0.003497788329602768,0.008210316300392151,0.9903846153846154,0.9923475681917234,0.0,0.06418609619140625,1.0
null,mass_omission,0.05,1,1,15872,778,0.049017137096774195,0.002280705398128879,0.9802167338709677,1.000964652785146,0.0040677745101116315,0.009031746536493301,0.9730077120822622,1.0082281932699886,0.0,0.06509932883294506,1.0
null,mass_omission,0.1,1,1,15872,1536,0.0967741935483871,0.002640173943232625,0.9768145161290323,1.000359292110363,0.004114998591830954,0.008743105456233025,0.9752604166666666,1.0042346469459982,0.0,0.06533098220825195,1.0
null,mass_omission,0.2,1,1,15872,3220,0.20287298387096775,0.0030718178022652864,0.9754914314516129,1.0011597747051295,0.004669297009891605,0.010211245156824589,0.967391304347826,1.0022672597158708,0.0,0.06572568905279504,1.0
null,mass_omission,0.3,1,1,15872,4644,0.2925907258064516,0.0034359667089677625,0.9741683467741935,0.9980847779611048,0.004826463515084946,0.010771629400551319,0.9704995693367786,0.9981513166086061,0.0,0.06596601882132859,1.0
renormalize,mass_omission,0.002,1,1,15872,29,0.0018271169354838709,0.0008610370385858621,0.9923135080645161,0.9993771524664592,0.08112492359339676,0.15523776412010193,0.896551724137931,0.9362201425644464,0.0,0.06686085668103449,1.0
renormalize,mass_omission,0.005,1,1,15872,78,0.004914314516129032,0.0027170015194813812,0.985383064516129,1.000656751115185,0.14636552261958385,0.49715256690979004,0.8076923076923077,1.194913749016397,0.0,0.06761873685396634,1.0
renormalize,mass_omission,0.009,1,1,15872,132,0.008316532258064516,0.0032213016398130886,0.979523689516129,1.0004691716627674,0.12770858279073957,0.28097936511039734,0.8636363636363636,1.129639565062235,0.007575757575757576,0.06617505622632576,1.0
renormalize,mass_omission,0.009,2,1,15872,148,0.009324596774193549,0.00438792846961728,0.9793976814516129,1.0000161318388157,0.15395645553095116,0.312426894903183,0.7972972972972973,1.146932634132743,0.006756756756756757,0.07230933936866554,1.0
renormalize,mass_omission,0.009,4,1,15872,156,0.009828629032258064,0.007929469026895541,0.9761214717741935,1.0029987978967159,0.3171204617008185,0.871340811252594,0.7307692307692307,1.2220179619426463,0.01282051282051282,0.07435862223307292,1.0
renormalize,mass_omission,0.009,8,1,15872,138,0.008694556451612902,0.013087568106129766,0.971648185483871,1.0072211163485034,0.807347363103991,1.9304628372192383,0.644927536231884,2.1951071347841316,0.08695652173913043,0.07484614330789317,1.0
renormalize,mass_omission,0.02,1,1,15872,312,0.01965725806451613,0.008797971359003455,0.9695060483870968,1.000724085447699,0.1277978680550288,0.3029499650001526,0.8493589743589743,1.0737566476347462,0.003205128205128205,0.06416614239032452,1.0
renormalize,mass_omission,0.05,1,1,15872,778,0.049017137096774195,0.014538120027751691,0.9603074596774194,1.0064452008136253,0.13024514806301243,0.24651841819286346,0.8688946015424165,1.094987040434609,0.005141388174807198,0.06506457488150708,1.0
renormalize,mass_omission,0.1,1,1,15872,1536,0.0967741935483871,0.02554666638494499,0.9369959677419355,1.0106526107884914,0.11677266548698147,0.2694872319698334,0.84375,1.1027695158646633,0.0026041666666666665,0.06540985902150472,1.0
renormalize,mass_omission,0.2,1,1,15872,3220,0.20287298387096775,0.04890554392289731,0.9127394153225806,1.0200466662487537,0.14158531479213549,0.32775747776031494,0.841304347826087,1.0826132290563972,0.004347826086956522,0.06585117126843944,1.0
renormalize,mass_omission,0.3,1,1,15872,4644,0.2925907258064516,0.06888662134447406,0.8917590725806451,1.030816513386052,0.15010657996375637,0.3517436385154724,0.8352713178294574,1.1010578142522824,0.004306632213608958,0.06611921128068475,1.0
