layer,policy,positioning,incidence,run_length,experts_per_drop,tokens_total,tokens_affected,realized_incidence,overall_mean_forward_kl,overall_top1_agreement,overall_perplexity_ratio,affected_mean_forward_kl,affected_p90_forward_kl,affected_top1_agreement,affected_perplexity_ratio,affected_large_divergence_fraction,affected_mean_missing_mass,affected_experts_erased_mean
0,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.00247941872540621,0.9799647177419355,0.9994467989319157,0.002659552394142074,0.006684916093945503,0.9806451612903225,0.9984807994845101,0.0,0.06450352822580645,1.0
1,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.002222214051852784,0.9798387096774194,1.000208284162441,0.0026515505667175014,0.005417470820248127,0.9741935483870968,0.9904918455842275,0.0,0.07115675403225806,1.0
2,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.0017494820809412386,0.9821068548387096,0.9996525691345065,0.001955731032085755,0.006152348592877388,0.9548387096774194,1.006161081678314,0.0,0.07006048387096774,1.0
3,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.0015619461586128078,0.9838709677419355,0.9995193367999061,0.0024912089424868745,0.008056583814322948,0.9806451612903225,0.9985467071826655,0.0,0.06929183467741935,1.0
4,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.0013579262135129783,0.9851310483870968,0.9999506524172189,0.002598434008259867,0.007025647908449173,0.967741935483871,1.0075996732566999,0.0,0.07377772177419355,1.0
5,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.001108543230070462,0.9855720766129032,0.9998755840057084,0.002371515059560132,0.006573549937456846,0.9612903225806452,0.998191486573042,0.0,0.07525201612903226,1.0
6,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.0009726456708214696,0.9877142137096774,0.9999518329161708,0.002092450178761576,0.006091051734983921,0.9935483870967742,1.0077772157359337,0.0,0.07173639112903225,1.0
7,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.0008001310099291825,0.9880292338709677,0.9995296223600961,0.0025484436206639773,0.006925059016793966,0.9870967741935484,1.0045401669436709,0.0,0.073828125,1.0
8,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.0007128256651002073,0.9898563508064516,0.9998471622989018,0.002160411888372994,0.005182723514735699,0.9870967741935484,1.0015310001341629,0.0,0.0724672379032258,1.0
9,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.0005876633222214878,0.9914314516129032,0.9998841429734223,0.0022306131995132854,0.004992756061255932,0.9741935483870968,0.9926217200612827,0.0,0.06978326612903225,1.0
10,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.0004929495964109176,0.9909904233870968,1.0001904145892742,0.0025538456904131077,0.005247584544122219,0.967741935483871,1.002248193771002,0.0,0.06451612903225806,1.0
11,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.00037576329533851914,0.9926285282258065,1.000026649399495,0.0020750325323352892,0.004060950130224228,0.9548387096774194,0.989548173641483,0.0,0.061617943548387094,1.0
12,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.0003146809575545992,0.9940776209677419,1.0001127437338635,0.002559945470983944,0.004060266073793173,0.9935483870967742,1.0020816994182031,0.0,0.06113911290322581,1.0
13,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.00020505666062461153,0.9948966733870968,1.0003554221941957,0.002344564064556072,0.005396250635385513,0.9806451612903225,1.0000449675241196,0.0,0.06047757056451613,1.0
14,null,mass_omission,0.009,1,1,15872,155,0.009765625,0.00011543039609903409,0.9969758064516129,1.000247028308957,0.0016606135650597993,0.003782635321840644,0.9612903225806452,1.0066578112204938,0.0,0.05933719758064516,1.0
15,null,mass_omission,0.009,1,1,15872,155,0.009765625,2.356397641462184e-05,0.9998739919354839,1.0000734817675476,0.002412951175844477,0.004481383133679628,0.9870967741935484,1.0075546984645398,0.0,0.06231728830645161,1.0
