policy,positioning,incidence,run_length,experts_per_drop,tokens_total,tokens_affected,realized_incidence,overall_mean_forward_kl,overall_top1_agreement,overall_perplexity_ratio,affected_mean_forward_kl,affected_p90_forward_kl,affected_top1_agreement,affected_perplexity_ratio,affected_large_divergence_fraction,affected_mean_missing_mass,affected_experts_erased_mean,axis
null,mass_omission,0.009,8,2,15872,124,0.0078125,0.0022886970170563265,0.9813508064516129,0.9999541131672778,0.027592444736059877,0.06958525627851486,0.9274193548387096,1.016907228120043,0.0,0.14007611428537675,2.0,experts_per_layer
null,mass_omission,0.009,8,4,15872,124,0.0078125,0.0036589692594603666,0.9784526209677419,1.0001802529984987,0.14371931462758972,0.3914088308811188,0.7741935483870968,1.0190110990795127,0.0,0.327545166015625,4.0,experts_per_layer
null,mass_omission,0.009,8,1,15872,124,0.0078125,0.002041628749500359,0.9800907258064516,1.001059312212217,0.010229129659672898,0.020592380315065384,0.9596774193548387,1.0240156960299893,0.0,0.06547823259907384,1.0,incidence
null,mass_omission,0.02,8,1,15872,248,0.015625,0.00244017381356248,0.9803427419354839,0.9998642375266823,0.013211205504053542,0.027526717633008957,0.9516129032258065,1.0301093845641713,0.0,0.06724766762025895,1.0,incidence
null,mass_omission,0.05,8,1,15872,744,0.046875,0.003258131534582184,0.9766255040322581,1.000742295510592,0.01306215383272658,0.02906009927392006,0.9556451612903226,1.0156406034041614,0.0,0.06702488724903394,1.0,incidence
null,mass_omission,0.1,8,1,15872,1984,0.125,0.005190596089608247,0.9674899193548387,1.002217725596813,0.014707321000676002,0.03296514227986336,0.9430443548387096,1.0109055943136953,0.0,0.06680950041740172,1.0,incidence
null,mass_omission,0.3,8,1,15872,4774,0.30078125,0.008666426904739873,0.9608114919354839,1.0041539221788527,0.015688853229895064,0.03638600930571556,0.9449099287808965,1.005580098028988,0.0,0.06664752680535191,1.0,incidence
null,mass_omission,0.5,8,1,15872,8029,0.505859375,0.012564444809310859,0.9508568548387096,1.0067078931864666,0.017497691289768937,0.041150160133838654,0.9405903599451987,1.0076592887335558,0.0,0.0667643269709802,1.0,incidence
null,mass_omission,0.009,12,1,15872,124,0.0078125,0.0024145300567690884,0.9807207661290323,0.9999073748265344,0.014761482951261343,0.03965282440185547,0.9435483870967742,1.0273841392132819,0.0,0.0662430178734564,1.0,run_length
null,mass_omission,0.009,16,1,15872,124,0.0078125,0.0026959397627281086,0.9792086693548387,1.0013405217020308,0.018521844244171536,0.04111754521727562,0.9435483870967742,1.043486765147659,0.0,0.06513263333228327,1.0,run_length
